,lane 1,lane 2,lane 3 ,lane 4,lane 5
count,8484.0,8484.0,8484.0,8484.0,8484.0
mean,2.833044350542197,2.16047624233852,2.097011105610561,1.2378514144271568,2.2687293281471
std,2.4662207565840966,1.3957757834774864,1.7372887581498504,1.5773890493806837,2.4149358280986544
min,0.0,0.0,0.0,0.0,0.02
25%,1.67,1.56,1.14,0.23,0.43
50%,2.24999,1.86999,1.79,0.83,1.77
75%,3.06999,2.26999,2.34,1.77,2.79999
max,9.999989999999999,9.999989999999999,9.999989999999999,9.999989999999999,9.999989999999999
