,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
dayofweek_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1215.0,2.8180948230452674,2.4656605492152845,0.0,1.67,2.21,3.01999,9.999989999999999,1215.0,2.1134792016460904,1.3810556741107556,0.01,1.52,1.86,2.2350000000000003,9.999989999999999,1215.0,2.0754796543209877,1.7973614037594836,0.01,1.06,1.74,2.23,9.999989999999999,1215.0,1.2615875473251028,1.65698214043056,0.0,0.26,0.83,1.77,9.999989999999999,1215.0,2.137257028806584,2.310069222469884,0.02,0.4,1.7499900000000002,2.56999,9.999989999999999
1,1222.0,3.006313633387889,2.5304997843304653,0.0,1.7499900000000002,2.355,3.24,9.999989999999999,1222.0,2.141315253682488,1.3291407576182654,0.01,1.56,1.86,2.23,9.999989999999999,1222.0,2.2594986006546645,1.9319340855486649,0.01,1.1925,1.8,2.49999,9.999989999999999,1222.0,1.3734030114566285,1.7701141173899566,0.0,0.26,0.92,1.8,9.999989999999999,1222.0,2.409662103109656,2.6486616915321752,0.02,0.4225,1.78,2.9,9.999989999999999
2,1200.0,2.8065546166666664,2.3615301546731042,0.01,1.68,2.2549900000000003,3.13,9.999989999999999,1200.0,2.1747228249999995,1.5888940702842935,0.0,1.5,1.84,2.28249,9.999989999999999,1200.0,2.068181108333333,1.7143376988242514,0.0,1.0875000000000001,1.8,2.30999,9.999989999999999,1200.0,1.2883906333333335,1.7428676691617868,0.0,0.06,0.78,1.7625000000000002,9.999989999999999,1200.0,2.3178559499999998,2.527698569936127,0.02,0.43,1.73,2.915,9.999989999999999
3,1198.0,2.7385940818030052,2.4446790594028536,0.0,1.6,2.24999,2.99,9.999989999999999,1198.0,2.0883949749582635,1.1362222088194254,0.0,1.54,1.855,2.28999,8.84999,1198.0,2.0424521786310517,1.6253925069137936,0.01,1.12,1.79,2.35,9.999989999999999,1198.0,1.1770440651085141,1.5022840856642323,0.0,0.01,0.8,1.74,9.999989999999999,1198.0,2.2185118697829718,2.379861256358158,0.02,0.42,1.74,2.73,9.999989999999999
4,1220.0,2.793020795081967,2.475794221752872,0.0,1.68,2.2449950000000003,2.95,9.999989999999999,1220.0,2.1194976639344265,1.1308507838353108,0.11,1.59,1.86999,2.27249,9.999989999999999,1220.0,2.0062110163934426,1.5675139292240285,0.0,1.1675,1.81,2.30999,9.999989999999999,1220.0,1.1284909016393443,1.3400329917730396,0.0,0.20750000000000002,0.83,1.76,9.999989999999999,1220.0,2.186063262295082,2.3155291555870683,0.02,0.4,1.775,2.75249,9.999989999999999
5,1213.0,2.851636850783182,2.5099496920585533,0.0,1.68,2.24,3.06999,9.999989999999999,1213.0,2.286295952184666,1.552745645204489,0.08,1.64,1.9,2.31999,9.999989999999999,1213.0,2.106774484748557,1.763676439906993,0.0,1.17,1.79,2.31999,9.999989999999999,1213.0,1.1932719620774936,1.4386704333526987,0.0,0.29,0.83,1.77,9.999989999999999,1213.0,2.3338720610057706,2.387249395396854,0.02,0.49,1.81,2.98,9.999989999999999
6,1216.0,2.814659276315789,2.467493480292847,0.0,1.65,2.1950000000000003,3.1224999999999996,9.999989999999999,1216.0,2.1992493914473683,1.562933206347495,0.01,1.53,1.884995,2.29999,9.999989999999999,1216.0,2.118797055921053,1.7271961954093193,0.01,1.13,1.79,2.3425,9.999989999999999,1216.0,1.2421370970394738,1.5340921149709397,0.0,0.25,0.85,1.81,9.999989999999999,1216.0,2.277415205592105,2.309383454132408,0.02,0.52,1.81,2.8825000000000003,9.999989999999999
