time,day,month,year,lane 1,lane 2,lane 3 ,lane 4,lane 5
12:00:00 AM,1,10,2004,1.72,1.77,1.83,2.13,1.96
01:29:28 AM,1,10,2004,1.67,1.61,2.04999,1.95,1.8
