date_time,time,day,month,year,lane 1,lane 2,lane 3 ,lane 4,lane 5,date,month_str,dayofweek_int,dayofweek_str,timebins_int,timebins_str
2004-10-01 00:00:00,00:00:00,1,10,2004,1.72,1.77,1.83,2.13,1.96,2004-10-01,"Oct, 29.9 (2004) / 30.7 (2005)",4,Fri,0,midnight_2AM
2004-10-01 01:29:28,01:29:28,1,10,2004,1.67,1.61,2.04999,1.95,1.8,2004-10-01,"Oct, 29.9 (2004) / 30.7 (2005)",4,Fri,0,midnight_2AM
